"Indian Game, General","A45","1.d4 Nf6"
"Sicilian Defense, Closed Variation","B23","1.e4 c5 2.Nc3"
"King's Indian Attack, General","A07","1.Nf3 d5 2.g3"
"Zukertort Opening, Sicilian Invitation","A04","1.Nf3 c5"
"Trompowsky Attack, General","A45","1.d4 Nf6 2.Bg5"
"Sicilian Defense, Nyezhmetdinov-Rossolimo Attack","B30","1.e4 c5 2.Nf3 Nc6 3.Bb5"
"Sicilian Defense, Alapin Variation, General","B22","1.e4 c5 2.c3"
"Sicilian Defense, Najdorf Variation","B90-99","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6"
"Pirc Defense, General","B07","1.e4 d6 2.d4 Nf6"
"Sicilian Defense, Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation","B31","1.e4 c5 2.Nf3 Nc6 3.Bb5 g6"
"French Defense, Exchange Variation","C01","1.e4 e6 2.d4 d5 3.exd5"
"Queen Pawn Game, London System","D02","1.d4 d5 2.Nf3 Nf6 3.Bf4"
"Zukertort Opening, Symmetrical Variation","A04","1.Nf3 Nf6"
"Sicilian Defense, Old Sicilian, General","B30","1.e4 c5 2.Nf3 Nc6"
"Sicilian Defense, French Variation","B40","1.e4 c5 2.Nf3 e6"
"Sicilian Defense, Canal Attack","B51","1.e4 c5 2.Nf3 d6 3.Bb5+"
"English Opening, King's English Variation, General","A20","1.c4 e5"
"Sicilian Defense, Najdorf Variation, English Attack","B90","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be3"
"Italian Game, Classical Variation, Giuoco Pianissimo","C53","1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d3"
"Catalan Opening, Closed Variation","E06","1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3"
"Sicilian Defense, Canal Attack, Main Line","B52","1.e4 c5 2.Nf3 d6 3.Bb5+ Bd7"
"Modern Defense, Standard Defense","B06","1.e4 g6 2.d4 Bg7 3.Nc3 d6"
"Modern Defense, Queen Pawn Fianchetto","A40","1.d4 g6"
"Sicilian Defense, Alapin Variation, Smith-Morra Declined","B22","1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.d4 cxd4"
"English Opening, Anglo-Indian Defense, King's Knight Variation","A15","1.c4 Nf6 2.Nf3"
"Sicilian Defense, Alapin Variation, Barmen Defense","B22","1.e4 c5 2.c3 d5 3.exd5 Qxd5"
"French Defense, King's Indian Attack","C00","1.e4 e6 2.d3"
"Modern Defense, King Pawn Fianchetto","B06","1.e4 g6"
"Semi-Slav Defense, General","D43","1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6"
"King's Indian Attack, Symmterical Defense","A05","1.Nf3 Nf6 2.g3 g6"
"Indian Game, Anti-Nimzo-indian","E10","1.d4 Nf6 2.c4 e6 3.Nf3"
"English Opening, Anglo-Indian Defense, King's Indian Formation","A15","1.c4 Nf6 2.Nf3 g6"
"Queen's Gambit Declined, General","D30","1.d4 d5 2.c4 e6"
"Queen Pawn Game, Sarratt Attack","D00","1.d4 d5 2.Bf4"
"Sicilian Defense, Kan Variation, Knight Variation","B43","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Nc3"
"Queen's Gambit Declined, Exchange Variation, Positional Variation","D35","1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Bg5"
"Queen Pawn Game, Zukertort Variation","D02","1.d4 d5 2.Nf3"
"Sicilian Defense, Paulsen Variation, Bastrikov Variation","B47","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7"
"Italian Game, Two Knights Defense, Modern Bishop's Opening","C55","1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d3"
"King's Indian Defense, Normal Variation, King's Knight Variation","E60","1.d4 Nf6 2.c4 g6 3.Nf3"
"Caro-Kann Defense, Exchange Variation","B13","1.e4 c6 2.d4 d5 3.exd5"
"Sicilian Defense, Closed Variation, Traditional","B25","1.e4 c5 2.Nc3 Nc6"
"Philidor Defense, Lion Variation","C41","1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Nc3 Ngf6"
"Slav Defense, General","D10","1.d4 d5 2.c4 c6"
"Slav Defense, Modern Line","D11","1.d4 d5 2.c4 c6 3.Nf3"
"Queen Pawn Game, Symmetrical Variation","D02","1.d4 d5 2.Nf3 Nf6"
"Sicilian Defense, Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation","B33","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5 9.Nd5"
"Sicilian Defense, Modern Variations","B50","1.e4 c5 2.Nf3 d6"
"Sicilian Defense, Delayed Alapin Variation","B40","1.e4 c5 2.Nf3 e6 3.c3"
"Sicilian Defense, Delayed Alapin","B50","1.e4 c5 2.Nf3 d6 3.c3"
"Horwitz Defense, General","A40","1.d4 e6"
"Semi-Slav Defense, Stoltz Variation","D45","1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Qc2"
"Catalan Opening, General","E00","1.d4 Nf6 2.c4 e6 3.g3"
"Sicilian Defense, Kan Variation, Modern Variation","B42","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3"
"English Opening, Anglo-Indian Defense, Queen's Knight Variation","A16","1.c4 Nf6 2.Nc3"
"Sicilian Defense, Chekhover Variation","B53","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4"
"Caro-Kann Defense, Advance Variation, Short Variation","B12","1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nf3"
"French Defense, Steinitz Variation, Boleslavsky Variation","C11","1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.f4 c5 6.Nf3 Nc6 7.Be3"
"Indian Game, London System","A48","1.d4 Nf6 2.Nf3 g6 3.Bf4"
"Nimzo-Indian Defense, Classical Variation","E32","1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2"
"Indian Game, Pseudo-King's Indian Variation","A49","1.d4 Nf6 2.Nf3 g6"
"English Opening, Anglo-Indian Defense, Mikenas-Carls Variation","A15","1.c4 Nf6"
"English Opening, Agincourt Defense, Neo Catalan Declined","A14","1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7 5.O-O"
"Caro-Kann Defense, General","B10","1.e4 c6"
"Sicilian Defense, Grand Prix Attack","B23","1.e4 c5 2.Nc3 Nc6 3.f4"
"Indian Game, London System","A46","1.d4 Nf6 2.Nf3 e6 3.Bf4"
"Zukertort Opening, Kingside Fianchetto","A04","1.Nf3 g6"
"Catalan Opening, Open Defense","E04","1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Nf3"
"Slav Defense, Exchange Variation","D10","1.d4 d5 2.c4 c6 3.cxd5"
"Queen's Gambit Declined, Three Knights Variation, General","D37","1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3"
"Sicilian Defense, Accelerated Dragon, Modern  Bc4 Variation","B35","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.Nc3 Bg7 6.Be3 Nf6 7.Bc4"
"Nimzo-Larsen Attack, Modern Variation","A01","1.b3 e5"
"Spanish Game, General","C60","1.e4 e5 2.Nf3 Nc6 3.Bb5"
"English Opening, Agincourt Defense","A13","1.c4 e6"
"King's Indian Defense, Fianchetto Variation, Classical Fianchetto","E67","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.Nf3 d6 5.g3 O-O 6.Bg2 Nbd7 7.O-O e5"
"Gruenfeld Defense, Exchange Variation","D85","1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5"
"Sicilian Defense, Closed Variation, Fianchetto Variation","B24","1.e4 c5 2.Nc3 Nc6 3.g3"
"Indian Game, Knights Variation, General","A46","1.d4 Nf6 2.Nf3"
"Bogo-Indian Defense, Grünfeld Variation","E11","1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2"
"English Opening, Great Snake Variation","A10","1.c4 g6"
"Indian Game, Przepiorka Variation","A49","1.d4 Nf6 2.Nf3 g6 3.g3"
"Slav Defense, Quiet Variation, Schallopp Defense","D12","1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5"
"King's Indian Defense, Orthodox Variation, General","E91","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2"
"Sicilian Defense, Kalashnikov Variation","B32","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5 5.Nb5 d6"
"Rat Defense, See also,  Modern Defense (for lines with ...g6)","A41","1.d4 d6"
"Zukertort Opening, Nimzo-Larsen Variation","A04","1.Nf3 Nf6 2.b3"
"Caro-Kann Defense, Advance Variation, Botvinnik-Carls Defense","B12","1.e4 c6 2.d4 d5 3.e5 c5"
"Queen Pawn Game, Symmetrical Variation, Pseudo-Catalan","D02","1.d4 d5 2.Nf3 Nf6 3.g3"
"Scandinavian Defense, Mieses-Kotroc Variation","B01","1.e4 d5 2.exd5 Qxd5"
"Gruenfeld Defense, Exchange Variation, Modern Exchange Variation","D85","1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3"
"Bird Opening, Dutch Variation","A03","1.f4 d5"
"Modern Defense, Standard Line","B06","1.e4 g6 2.d4 Bg7 3.Nc3"
"Spanish Game, Morphy Defense, Anderssen Variation","C77","1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.d3"
"Slav Defense, Quiet Variation","D11","1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3"
"Sicilian Defense, Four Knights Variation","B45","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6"
"Caro-Kann Defense, Two Knights Attack","B10","1.e4 c6 2.Nc3 d5 3.Nf3"
"Sicilian Defense, Classical Variation, General","B56","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6"
"Indian Game, Yusupov-Rubinstein System","A46","1.d4 Nf6 2.Nf3 e6 3.e3"
"Hungarian Opening, General","A00","1.g3"
"Torre Attack, Fianchetto Defense","A48","1.d4 Nf6 2.Nf3 g6 3.Bg5"
"French Defense, Rubinstein Variation, Blackburne Defense","C10","1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7"
"Czech Defense, General","B07","1.e4 d6 2.d4 Nf6 3.Nc3 c6"
"Scandinavian Defense, Main Lines","B01","1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5"
"Four Knights Game, Scotch Variation, Accepted","C47","1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 exd4"
"Sicilian Defense, Najdorf Variation, Adams Attack","B90","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.h3"
"Spanish Game, Closed Variations","C84","1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7"
"French Defense, Tarrasch Variation, Closed Variation, Main Line","C06","1.e4 e6 2.d4 d5 3.Nd2 Nf6 4.e5 Nfd7 5.Bd3 c5 6.c3 Nc6 7.Ne2 cxd4 8.cxd4"
"Sicilian Defense, Accelerated Dragon, Maroczy Bind","B38","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4 Bg7 6.Be3"
"King's Pawn Opening, General","B00","1.e4"
"Sicilian Defense, General","B20-99","1.e4 c5"
"English Opening, Symmetrical Variation, General","A30","1.c4 c5"
"Sicilian Defense, Najdorf Variation, Opocensky Variation","B92","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be2"
"English Opening, Anglo-Slav Variation, General","A11","1.c4 c6"
"Bogo-Indian Defense, Nimzowitsch Variation","E11","1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Qe7"
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Modern Line","B76","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.O-O-O"
"King's Indian Defense, Normal Variation, Rare Defenses","E90","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3"
"Caro-Kann Defense, Advance Variation","B12","1.e4 c6 2.d4 d5 3.e5"
"King's Indian Defense, Fianchetto Variation, Panno Variation","E63","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.Nf3 d6 5.g3 O-O 6.Bg2 Nc6 7.O-O a6"
"Caro-Kann Defense, Advance Variation, Tal Variation","B12","1.e4 c6 2.d4 d5 3.e5 Bf5 4.h4"
"Scandinavian Defense, Gubinsky-Melts Defense","B01","1.e4 d5 2.exd5 Qxd5 3.Nc3 Qd6"
"Indian Game, Spielmann-Indian","A46","1.d4 Nf6 2.Nf3 c5"
"Indian Game, Wade-Tarkatower Defense","A46","1.d4 Nf6 2.Nf3 d6"
"Spanish Game, Morphy Defense","C78","1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O"
"French Defense, Advance Variation, Euwe Variation","C02","1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7"
"Torre Attack, Classical Defense","A46","1.d4 Nf6 2.Nf3 e6 3.Bg5"
"Caro-Kann Defense, Classical Variation","B18","1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5"
"Italian Game, Giuoco Pianissimo, Normal","C50","1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6"
"Sicilian Defense, Paulsen Variation","B46","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 a6"
